,teamName,teamId,win,gameNumber,duration,isTiebreaker,isPlayoff,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
82,KING-ZONE DragonX,Red,TRUE,41,2008,FALSE,FALSE,18,9,46,1181712,205935,653133,322642,69062,27511,40741,807,28127,11,74470,64697,18390,249,74,72979,27298,43138,2538,65769,59375,956,220,139,22,2786,79,34,0,129,51,31.4,28.1,2182.5,1863,1847.1,1310.3,2843.8,1424.2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8,2,1,3,0
83,Flash Wolves,Blue,TRUE,42,1867,FALSE,FALSE,3,6,6,861796,305645,322637,233511,45101,28783,14792,1523,32496,13,72598,59585,17286,254,109,75191,30103,43521,1562,55342,47705,889,175,108,25,2910,71,43,0,116,62,33.2,26.8,2169.2,1926.7,1773.2,1335.3,2381.6,1364.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,1,1,1,1
84,Royal Never Give Up,Red,FALSE,42,1867,FALSE,FALSE,6,3,10,883703,340018,270339,273345,41510,24998,14944,1563,22238,7,60416,26088,2624,222,69,67752,31244,34983,1521,48365,46235,862,173,122,12,2448,70,38,0,126,49,29.9,27.1,2063.3,1826.9,1526.5,1206.9,2593.1,1584.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,2,0
85,Fnatic,Blue,TRUE,43,1829,FALSE,FALSE,15,4,34,1025666,150977,586692,287996,51262,14504,32571,4183,24813,7,85980,72853,14642,223,89,72698,27602,40551,4542,62399,54150,951,225,121,36,3323,78,35,0,111,52,37.4,26.6,2544.5,1847.7,1820.1,1286,2382.9,1590.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,2,1,2,1
86,Team Liquid,Red,FALSE,43,1829,FALSE,FALSE,4,15,10,781342,283797,297228,200312,42233,22065,15621,4544,20466,11,76812,23828,4816,224,134,71853,16515,51150,4180,50044,47000,956,137,104,9,2095,71,38,0,135,40,35.2,28.5,2112.6,1965.5,1673.1,1352.9,2240.7,1490.8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,0,0,1,0
87,Royal Never Give Up,Blue,FALSE,44,2229,FALSE,FALSE,7,15,22,1127327,269051,562471,295801,50429,24009,23432,2983,22827,12,89569,33572,4061,249,162,82303,26968,52830,2501,59867,61340,1065,222,163,24,2081,80,35,0,121,73,28.4,26.1,2030.8,1880.7,1610.7,1245.4,938.1,2058.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,1,0
88,Team Liquid,Red,TRUE,44,2229,FALSE,FALSE,15,7,35,1278950,317264,657610,304069,54105,22669,28932,2501,32223,10,91916,91101,23671,330,81,76659,28212,45458,2983,74243,62800,1054,230,126,27,1862,84,46,0,177,59,29.9,24.4,1914.6,1858.8,1595.4,1515.4,1356.1,1942.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,3,2,4,1
89,EVOS Esports,Blue,FALSE,45,2495,FALSE,FALSE,3,15,4,1337103,285587,781693,269819,57099,22829,25165,9102,23825,10,88744,73889,23841,363,62,102244,43803,57186,1253,72713,72308,1167,333,179,62,2078,83,77,0,213,58,32.4,23.9,2251.9,1775.9,1786.1,1191.1,1631.2,1530.8,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,8,5,0,3,0
90,Fnatic,Red,TRUE,45,2495,FALSE,FALSE,15,3,30,1585957,696923,525061,363965,63690,38520,23915,1253,76434,10,121044,93678,21729,353,70,108781,29598,70076,9102,84573,71225,1386,227,130,36,5243,88,49,0,163,79,35.9,26.9,2159,1760,1751.1,1417.5,1863.4,1654.7,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,9,2,3,2,1
91,KING-ZONE DragonX,Blue,FALSE,46,2552,FALSE,FALSE,4,16,10,1237800,394580,650189,193029,58990,25623,31372,1992,30754,8,115913,52577,9599,345,94,111359,38009,67132,6215,72894,69150,1220,236,185,13,3562,87,53,0,171,87,32.5,27.4,2156,1918.2,1537.3,1268.8,1385.4,1227.3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,2,1,0
