,teamName,teamId,win,gameNumber,duration,isTiebreaker,isPlayoff,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
39,Fnatic,Blue,TRUE,20,2619,FALSE,FALSE,11,10,23,1178517,619363,515337,43811,87564,49719,32351,5490,40386,12,149432,72515,28319,381,127,142504,63571,74501,4429,84607,70150,1335,266,173,21,3035,88,60,0,197,104,35.7,30.1,2397.6,1859.3,1774.7,1278.2,2560.5,1711.2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,11,4,2,2,0
40,G2 Esports,Red,FALSE,20,2619,FALSE,FALSE,10,11,23,1112806,470909,604148,37749,106180,59810,41936,4430,21931,13,129760,25572,11890,433,199,113610,50835,57283,5490,79318,74475,1433,186,132,19,3670,86,51,0,219,93,38.3,30.9,2320.3,1936,2083.6,1341.6,1669,1427.5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4,0,0,2,0
41,Unicorns of Love,Blue,TRUE,21,2106,FALSE,FALSE,9,3,25,1131176,449473,500068,181631,64579,35900,27209,1469,30109,10,120499,97174,28141,348,94,105434,37716,65981,1733,67666,58375,1151,218,119,40,2026,81,42,0,172,78,38.4,26.3,2314.7,1838,1781.9,1358.4,2200,1175.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,3,1,3,1
42,H2K,Red,FALSE,21,2106,FALSE,FALSE,3,9,8,805890,352890,406878,46120,59752,30107,27908,1735,28585,19,68151,11290,8760,304,86,88260,39663,47127,1469,54848,53560,1092,154,127,16,1438,75,51,0,169,73,36.9,28.7,2345.7,1810.8,1606,1287.8,1889,1032,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0
43,Giants Gaming,Blue,TRUE,22,2349,FALSE,FALSE,16,9,44,969254,441284,502709,25257,77416,40751,34243,2417,19232,11,99131,55651,24275,405,83,98950,33787,63113,2045,71345,66855,1116,253,178,21,2590,84,25,0,201,92,33.7,26.9,2258.9,1894.1,1731.1,1253.1,2305.3,1459,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,8,2,1,2,0
44,ROCCAT,Red,FALSE,22,2349,FALSE,FALSE,9,16,23,1139500,328439,590066,220993,68534,29543,36942,2046,25208,9,112733,40349,11393,425,115,111031,45724,62886,2417,65442,62183,1170,228,163,17,2386,81,60,0,231,88,32.4,29.4,2350.1,1834.3,1923.1,1261.2,2364.3,1360.6,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4,0,0,1,1
45,FC Schalke 04,Blue,FALSE,23,2143,FALSE,FALSE,8,9,23,1039310,407743,450606,180956,76323,45400,28532,2389,25039,10,90179,11055,3623,254,149,97659,35614,57528,4512,59634,55605,1153,165,130,5,4699,81,42,0,164,43,36,28.1,2140.8,1887.4,1636,1343.4,2044.5,1366.5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,1,0
46,Team Vitality,Red,TRUE,23,2143,FALSE,FALSE,9,8,25,883172,366422,449741,67007,64498,33704,26276,4513,26538,14,95034,83992,27375,339,162,111872,50633,58848,2389,66800,64613,956,265,144,49,1823,81,48,0,142,79,34.8,26.4,2294.7,1834.1,2075.4,1220.7,1727.5,1735.6,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,11,5,2,3,1
47,G2 Esports,Blue,TRUE,24,2551,FALSE,FALSE,7,2,25,1485964,567076,561913,356972,119687,57550,50798,11336,36041,29,142371,103513,28949,454,186,101680,49689,50501,1487,76999,69725,1182,244,135,41,2902,87,39,0,215,67,33.7,28.7,2180.3,1903.4,1767.8,1262.5,2194,1279,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,11,3,2,4,1
48,Splyce,Red,FALSE,24,2551,FALSE,FALSE,2,7,4,994920,659007,287977,47931,61719,46771,14456,487,35532,12,150946,23294,10846,322,115,149354,62295,75719,11334,67194,64270,1258,197,149,5,3049,82,54,0,168,80,36.8,28.1,2271.2,1900.4,1600.2,1237.7,1999.1,1801.8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4,0,1,0,0
49,Fnatic,Blue,FALSE,25,3866,FALSE,FALSE,9,19,22,1816887,884784,815453,116646,136564,83517,48307,4738,51692,20,254831,120286,24723,571,135,172963,88770,74645,9545,110430,108950,1613,406,226,89,3611,90,80,0,250,91,35,28.1,2538.1,1927.7,1816,1283.1,1995.4,1501,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,9,10,2,3,1
50,Misfits Gaming,Red,TRUE,25,3866,FALSE,FALSE,19,9,53,2883408,887368,1699597,296439,134374,85501,39323,9545,44596,12,240537,124620,26926,595,208,186917,90157,92016,4739,125625,121158,2069,247,164,9,5873,90,80,0,287,102,39.5,29.1,2306.9,1964.5,1839.2,1305.3,1984.9,1455.4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,8,1,4,3,0
51,Unicorns of Love,Blue,FALSE,26,1794,FALSE,FALSE,5,8,7,944675,424927,167549,352197,40519,28631,8470,3413,24442,12,68732,24001,4339,211,92,82060,28081,52469,1503,47310,45610,944,129,106,5,3355,70,31,0,104,73,35.5,26.3,2249.1,1845,1651.7,1229,2343.5,1851.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0
52,Team Vitality,Red,TRUE,26,1794,FALSE,FALSE,8,5,12,770118,323814,423954,22346,59011,25595,31908,1505,12164,7,45177,53361,19349,315,112,66200,30914,31869,3412,56760,51558,941,202,129,18,1315,76,34,0,182,50,35.4,27.1,2293.8,1909.3,1833.9,1356.8,2287.3,1286,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1,1,3,1
53,FC Schalke 04,Blue,TRUE,27,2179,FALSE,FALSE,22,9,59,897793,323856,515668,58265,76855,30083,41428,5340,25423,16,101415,29822,26215,328,91,114853,57635,52814,4399,72919,65788,1105,202,144,21,2457,84,48,0,164,71,34.9,25.2,2229.3,1827.4,1788.6,1226.8,1933.6,1962.9,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,10,2,1,0,0
54,Giants Gaming,Red,FALSE,27,2179,FALSE,FALSE,9,22,20,1038436,441061,411909,185458,84314,54260,25651,4400,23916,6,72707,73789,13140,299,130,109924,34596,69983,5340,59013,55935,890,214,134,26,2314,77,35,0,161,55,29.9,25.8,2060.5,1868.3,1662.4,1396,1897.6,1523.6,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,5,0,0,4,1
55,ROCCAT,Blue,FALSE,28,2390,FALSE,FALSE,3,17,5,1263228,410638,555992,296594,64078,34303,27965,1806,12862,9,81714,16422,3011,364,70,94510,39564,50426,4517,64514,61308,1308,182,124,16,3134,83,63,0,187,62,35.6,29.9,2185.9,1927.5,1784.2,1345.4,2234.2,1277.6,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,0,0,1
