,teamName,teamId,win,gameNumber,duration,isTiebreaker,isPlayoff,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
200,KSV,Red,FALSE,100,2851,FALSE,FALSE,4,14,14,1469096,809391,425964,233738,88385,50671,32571,5141,39235,15,197951,17593,2125,449,201,163870,59258,99854,4756,75814,70850,1406,254,186,5,3241,87,73,0,192,131,34.3,29.2,2197.2,2001.3,1688.2,1318.7,1964.3,1489.5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,0,0,0,1
201,Afreeca Freecs,Blue,FALSE,101,1970,FALSE,FALSE,2,13,4,981271,548176,238166,194926,47122,31377,13260,2482,29600,16,93585,1555,1235,255,111,92748,35476,55361,1904,51623,48775,1062,178,130,11,4704,77,36,0,161,46,32.8,29.7,2118.2,1999.5,1629.5,1312.8,3271.4,1648.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
202,Jin Air GreenWings,Red,TRUE,101,1970,FALSE,FALSE,13,2,34,1053938,340447,532033,181455,70541,33129,35501,1906,22754,12,73612,66051,25215,316,121,75178,34875,36817,3480,68396,63750,1108,218,122,41,5275,82,32,0,154,67,36.2,30.2,2704.8,1909.5,2072.9,1281.1,2534.8,1662.9,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,11,3,2,3,0
203,Jin Air GreenWings,Blue,TRUE,102,2218,FALSE,FALSE,13,4,31,993115,532445,400809,59855,74502,50955,20891,2653,63692,10,119023,91116,32639,354,78,107874,33394,73384,1092,73921,65608,1172,251,152,35,1838,85,38,0,191,57,37.5,28.9,2348.4,2021.1,1923.7,1433.5,2719,1869,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,3,2,3,1
204,Afreeca Freecs,Red,FALSE,102,2218,FALSE,FALSE,4,13,7,941180,348229,552338,40610,66689,28269,37326,1092,20386,10,82537,12434,923,336,91,99783,53753,43374,2653,59349,57766,1210,215,162,5,5194,80,53,0,166,85,36.5,28.6,2240.3,1947.8,1637.1,1291.7,1596.5,1825.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0
205,MVP,Blue,FALSE,103,2061,FALSE,FALSE,3,13,9,926144,579769,294928,51442,62732,43888,15394,3448,51484,11,111763,29419,1113,232,125,109468,30061,72214,7190,54346,53375,1073,184,137,9,5789,79,37,0,134,72,32.9,27.5,2167.5,1958.1,1518.5,1245.5,2069,1632.7,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,1,1
206,ROX Tigers,Red,TRUE,103,2061,FALSE,FALSE,13,3,36,1112265,312215,611102,188944,72414,26485,39323,6602,26828,17,77268,57360,29076,349,76,95734,47440,45229,3062,71307,66228,1055,246,139,37,2151,84,41,0,178,55,34.5,26.5,2232.6,1869.2,1786.9,1273.5,2337.1,1511.2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,11,3,2,2,0
207,ROX Tigers,Blue,TRUE,104,2189,FALSE,FALSE,14,7,39,1186985,415752,579100,192130,90368,48814,36607,4942,44166,26,82807,87249,35258,381,101,103011,34045,67061,1900,74543,64175,1093,272,151,41,2318,83,41,0,205,78,33.6,30.5,2282.5,2044.1,2107.6,1441.6,2135.1,1219.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,3,1,4,1
208,MVP,Red,FALSE,104,2189,FALSE,FALSE,7,14,19,1004613,268397,541590,194620,69414,30895,36615,1900,34662,11,87118,12258,2235,325,90,116086,52939,58202,4941,59373,57358,1110,169,146,0,3056,79,39,0,175,79,34,28.2,2039.7,1922.3,1572.7,1317.3,2615.5,1515.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0
209,bbq OLIVERS,Blue,TRUE,105,3438,FALSE,FALSE,12,3,24,1740193,721468,765869,252853,96959,54351,36563,6042,38208,22,253930,159308,37136,635,186,147904,54476,83780,9644,106869,97175,1558,340,206,32,5215,90,64,0,304,163,32,27.3,2205,1968.6,1813,1447.7,1705.2,1595.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,4,3,5,1
